,genre,year,title,duration,certificate,rating,voting
0,Action,2024,1. Gladiator II,2h 28m,15,6.5,253000
1,Action,2024,2. Dune: Part Two,2h 46m,12A,8.5,643000
2,Action,2024,3. Twisters,2h 2m,12A,6.5,176000
3,Action,2024,4. Kraven the Hunter,2h 7m,15,5.5,63000
4,Action,2024,5. The Ministry of Ungentlemanly Warfare,2h 2m,15,6.8,139000
5,Action,2024,6. Deadpool & Wolverine,2h 8m,15,7.5,507000
6,Action,2024,7. The Unholy Trinity,1h 35m,15,6.1,511000
7,Action,2024,8. The Beekeeper,1h 45m,15,6.3,162000
8,Action,2024,9. Venom: The Last Dance,1h 50m,15,6.0,130000
9,Action,2024,10. Civil War,1h 49m,15,7.0,244000
10,Action,2024,11. Sonic the Hedgehog 3,1h 50m,PG,6.9,65000
11,Action,2024,12. Furiosa: A Mad Max Saga,2h 28m,15,7.5,292000
12,Action,2024,13. Fight or Flight,1h 42m,15,6.4,14000
13,Action,2024,14. Carry-On,1h 59m,12,6.5,172000
14,Action,2024,15. The Fall Guy,2h 6m,12A,6.8,227000
15,Action,2024,16. Land of Bad,1h 53m,15,6.6,53000
16,Action,2024,17. The Count of Monte-Cristo,2h 58m,12A,7.6,37000
17,Action,2024,18. Rebel Ridge,2h 11m,15,6.8,91000
18,Action,2024,19. Road House,2h 1m,15,6.2,171000
19,Action,2024,20. Freaky Tales,1h 47m,15,6.2,7300
20,Action,2024,21. William Tell,2h 14m,15,5.7,3100
21,Action,2024,22. Madame Web,1h 56m,12A,4.1,104000
22,Action,2024,23. Dirty Angels,1h 44m,15,4.4,4100
23,Action,2024,24. Absolution,1h 52m,R,5.2,8900
24,Action,2024,25. Borderlands,1h 41m,12A,4.7,51000
25,Action,2024,26. Damsel,1h 50m,12,6.1,111000
26,Action,2024,27. Transformers One,1h 44m,PG,7.6,54000
27,Action,2024,28. Argylle,2h 19m,12A,5.6,94000
28,Action,2024,29. Bad Boys: Ride or Die,1h 55m,15,6.5,103000
29,Action,2024,30. The Union,1h 47m,12,5.4,54000
30,Action,2024,31. Kingdom of the Planet of the Apes,2h 25m,12A,6.8,155000
31,Action,2024,32. Drive-Away Dolls,1h 24m,15,5.4,24000
32,Action,2024,33. 40 Acres,1h 53m,R,6.8,379000
33,Action,2024,34. Maharaja,2h 21m,15,8.4,70000
34,Action,2024,35. The Crow,1h 51m,18,4.7,37000
35,Action,2024,36. Monkey Man,2h 1m,18,6.8,94000
36,Action,2024,37. Godzilla x Kong: The New Empire,1h 55m,12A,6.0,124000
37,Action,2024,38. Thelma,1h 38m,12A,7.0,24000
