,genre,year,title,duration,certificate,rating,voting
0,Adventure,2024,1. Gladiator II,2h 28m,15,6.5,253000
1,Adventure,2024,2. Dune: Part Two,2h 46m,12A,8.5,643000
2,Adventure,2024,3. Twisters,2h 2m,12A,6.5,176000
3,Adventure,2024,4. Kraven the Hunter,2h 7m,15,5.5,63000
4,Adventure,2024,5. Deadpool & Wolverine,2h 8m,15,7.5,507000
5,Adventure,2024,6. The Unholy Trinity,1h 35m,15,6.1,511000
6,Adventure,2024,7. Venom: The Last Dance,1h 50m,15,6.0,130000
7,Adventure,2024,8. Sonic the Hedgehog 3,1h 50m,PG,6.9,65000
8,Adventure,2024,9. Flow,1h 25m,U,7.9,84000
9,Adventure,2024,10. Furiosa: A Mad Max Saga,2h 28m,15,7.5,292000
10,Adventure,2024,11. Moana 2,1h 40m,PG,6.5,109000
11,Adventure,2024,12. Mufasa: The Lion King,1h 58m,PG,6.6,71000
12,Adventure,2024,13. The Count of Monte-Cristo,2h 58m,12A,7.6,37000
13,Adventure,2024,14. Freaky Tales,1h 47m,15,6.2,7300
14,Adventure,2024,15. Paddington in Peru,1h 46m,PG,6.7,26000
15,Adventure,2024,16. Inside Out 2,1h 36m,U,7.5,223000
16,Adventure,2024,17. Ghostbusters: Frozen Empire,1h 55m,12A,6.1,96000
17,Adventure,2024,18. The Return,1h 56m,15,6.2,10000
18,Adventure,2024,19. Borderlands,1h 41m,12A,4.7,51000
19,Adventure,2024,20. Damsel,1h 50m,12,6.1,111000
20,Adventure,2024,21. Transformers One,1h 44m,PG,7.6,54000
21,Adventure,2024,22. Despicable Me 4,1h 34m,U,6.2,68000
22,Adventure,2024,23. Bad Boys: Ride or Die,1h 55m,15,6.5,103000
23,Adventure,2024,24. Kingdom of the Planet of the Apes,2h 25m,12A,6.8,155000
24,Adventure,2024,25. Monster Summer,1h 37m,PG-13,5.7,4200
25,Adventure,2024,26. Godzilla x Kong: The New Empire,1h 55m,12A,6.0,124000
26,Adventure,2024,27. Red One,2h 3m,12A,6.3,142000
27,Adventure,2024,28. Survive,1h 30m,15,4.6,3100
28,Adventure,2024,29. The Day the Earth Blew Up: A Looney Tunes Movie,1h 31m,U,6.9,5500
29,Adventure,2024,30. Kung Fu Panda 4,1h 34m,PG,6.3,70000
30,Adventure,2024,31. The Lord of the Rings: The War of the Rohirrim,2h 14m,12A,6.3,33000
31,Adventure,2024,32. Uglies,1h 40m,12,4.7,34000
32,Adventure,2024,33. The Garfield Movie,1h 41m,U,5.7,25000
33,Adventure,2024,34. Attack on Titan the Movie: The Last Attack,2h 25m,15,9.2,18000
34,Adventure,2024,35. Spaceman,1h 47m,15,5.7,44000
35,Adventure,2024,36. Kalki 2898-AD,3h,12A,7.0,68000
36,Adventure,2024,37. Cells at Work!,1h 49m,12,6.7,832000
37,Adventure,2024,38. Solo Leveling: ReAwakening,2h 1m,15,8.8,14000
38,Adventure,2024,39. Arthur the King,1h 47m,PG-13,7.0,35000
39,Adventure,2024,40. Atlas,1h 58m,12,5.6,57000
40,Adventure,2024,41. Spellbound,1h 49m,PG,5.5,7900
41,Adventure,2024,42. Sketch,1h 32m,PG,8.2,70000
42,Adventure,2024,43. Wallace & Gromit: Vengeance Most Fowl,1h 22m,U,7.5,36000
43,Adventure,2024,44. Lost on a Mountain in Maine,1h 38m,PG,6.1,1600
44,Adventure,2024,45. Rebel Moon - Part Two: The Scargiver,2h 2m,12A,5.3,60000
45,Adventure,2024,46. Manjummel Boys,2h 15m,,8.2,28000
46,Adventure,2024,47. Descendants: The Rise of Red,1h 31m,PG,4.7,7300
47,Adventure,2024,48. Harold and the Purple Crayon,1h 30m,PG,5.7,8800
48,Adventure,2024,49. Devara Part 1,2h 56m,15,6.0,21000
49,Adventure,2024,50. Family Pack,1h 34m,12,5.5,9600
50,Adventure,2024,51. Kalvan,2h 22m,12A,5.6,992000
51,Adventure,2024,52. Orion and the Dark,1h 33m,PG,6.3,18000
52,Adventure,2024,53. Sunlight,1h 36m,,7.6,32000
53,Adventure,2024,54. Dragonkeeper,1h 38m,PG,5.7,1800
54,Adventure,2024,55. Justice League: Crisis on Infinite Earths - Part One,1h 33m,PG,6.2,8800
55,Adventure,2024,56. Justice League: Crisis on Infinite Earths - Part Three,1h 34m,15,6.1,4800
56,Adventure,2024,57. Saint-Exupéry,1h 38m,,5.4,510000
57,Adventure,2024,58. Winner,1h 43m,PG-13,6.5,2700
58,Adventure,2024,59. Badland Hunters,1h 47m,18,5.9,13000
59,Adventure,2024,60. Crayon Shin-chan: Our Dinosaur Diary,1h 46m,,6.6,609000
60,Adventure,2024,61. No Way Up,1h 30m,15,4.6,11000
61,Adventure,2024,62. Thelma the Unicorn,1h 33m,PG,5.7,3000
62,Adventure,2024,63. Megamind vs. The Doom Syndicate,1h 23m,PG,2.5,5700
63,Adventure,2024,64. Night of the Zoopocalypse,1h 31m,PG,6.1,926000
64,Adventure,2024,65. My Penguin Friend,1h 37m,PG,6.8,5700
65,Adventure,2024,66. Justice League: Crisis on Infinite Earths - Part Two,1h 34m,15,5.5,5600
66,Adventure,2024,67. Doraemon the Movie: Nobita's Earth Symphony,1h 55m,,6.6,1600
67,Adventure,2024,68. That Christmas,1h 31m,PG,6.8,17000
68,Adventure,2024,69. Sasquatch Sunset,1h 28m,15,5.4,5600
69,Adventure,2024,70. Ultraman: Rising,1h 57m,PG,6.9,6600
70,Adventure,2024,71. The Great Lillian Hall,1h 50m,TV-14,7.3,2100
71,Adventure,2024,72. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,1h 44m,15,7.2,8800
72,Adventure,2024,73. Bambi: A Tale of Life in The Woods,1h 18m,Not Rated,5.6,255000
73,Adventure,2024,74. The Goat Life,2h 53m,12A,7.1,48000
74,Adventure,2024,75. The Last Redemption,2h 2m,15,6.8,5200
75,Adventure,2024,76. River of Blood,1h 26m,R,5.0,2000
76,Adventure,2024,77. My Hero Academia: You're Next,1h 50m,12A,7.0,2600
77,Adventure,2024,78. Escape,1h 34m,,6.4,2200
78,Adventure,2024,79. Thangalaan,2h 36m,15,6.5,6800
79,Adventure,2024,80. Something in the Water,1h 26m,15,4.1,5000
80,Adventure,2024,81. Unspeakable: Beyond the Wall of Sleep,1h 30m,,4.9,116000
81,Adventure,2024,82. Overlord: The Sacred Kingdom,2h 15m,15,6.9,1400
82,Adventure,2024,83. Escape from the 21st Century,1h 38m,,6.4,1000
83,Adventure,2024,84. The Price of Money: A Largo Winch Adventure,1h 40m,,5.1,1300
84,Adventure,2024,85. Kanguva,2h 32m,15,4.5,15000
85,Adventure,2024,86. Hitpig,1h 26m,PG,5.1,1100
86,Adventure,2024,87. Bookworm,1h 43m,12,6.0,2100
87,Adventure,2024,88. Raqa,1h 47m,Not Rated,5.6,303000
88,Adventure,2024,89. Devil's Knight,1h 30m,,5.3,963000
89,Adventure,2024,90. Robin and the Hoods,1h 40m,,4.3,540000
90,Adventure,2024,"91. I, the Executioner",1h 58m,,6.3,2000
91,Adventure,2024,92. A Legend,2h 9m,,4.7,1000
92,Adventure,2024,93. The Best Christmas Pageant Ever,1h 39m,PG,6.8,6300
93,Adventure,2024,94. Hanu Man,2h 38m,,7.7,29000
94,Adventure,2024,95. Bureau 749,2h 3m,,3.9,580000
95,Adventure,2024,96. The Courier,1h 41m,15,6.0,4600
96,Adventure,2024,97. The Tiger's Apprentice,1h 24m,PG,5.8,2300
97,Adventure,2024,98. Meanwhile on Earth,1h 29m,R,6.0,950000
98,Adventure,2024,99. Empire Queen,2h 28m,,3.2,240000
99,Adventure,2024,100. The Twisters,1h 26m,Not Rated,2.6,410000
100,Adventure,2024,101. Bade Miyan Chote Miyan,2h 43m,15,3.7,39000
101,Adventure,2024,102. Return to Wickensburg,1h 28m,,4.7,78000
102,Adventure,2024,103. Eat the Night,1h 46m,18,6.0,567000
103,Adventure,2024,104. A.R.M,2h 30m,,7.1,8900
104,Adventure,2024,105. Anaconda,1h 24m,,4.9,668000
105,Adventure,2024,106. Angels Fallen: Warriors of Peace,1h 43m,,4.9,6300
106,Adventure,2024,107. Sam and Colby: The Legends of the Paranormal,1h 38m,Not Rated,4.8,314000
107,Adventure,2024,108. Buffalo Kids,1h 33m,PG,6.6,772000
108,Adventure,2024,109. Big City Greens the Movie: Spacecation,1h 23m,TV-Y7,6.2,584000
109,Adventure,2024,110. 76 Days,1h 45m,,0.0,0
110,Adventure,2024,111. I Left My Heart in Colombia,0h,,8.4,428000
111,Adventure,2024,112. Saving Bikini Bottom: The Sandy Cheeks Movie,1h 22m,U,3.7,4000
112,Adventure,2024,113. The Kingdom,2h 13m,TV-14,7.0,151000
113,Adventure,2024,114. 200% Wolf,1h 38m,U,5.9,1300
114,Adventure,2024,115. Captain Miller,2h 37m,15,6.9,11000
115,Adventure,2024,116. Panda Bear in Africa,1h 24m,Not Rated,5.5,378000
116,Adventure,2024,117. The Wages of Fear,1h 44m,TV-MA,4.6,4200
117,Adventure,2024,118. Gaami,2h 27m,Not Rated,6.3,2100
118,Adventure,2024,119. My Oni Girl,1h 52m,TV-PG,6.0,1900
119,Adventure,2024,120. My Freaky Family,1h 26m,,6.1,424000
120,Adventure,2024,121. Cult Killer,1h 45m,15,4.8,2900
121,Adventure,2024,122. Son's Will,2h 28m,,7.4,1100
122,Adventure,2024,123. Noah's Ark,1h 36m,U,4.2,701000
123,Adventure,2024,124. The Empire,1h 50m,,5.2,1300
124,Adventure,2024,125. Sixty Minutes,1h 28m,15,5.7,5300
125,Adventure,2024,126. Woody Woodpecker Goes to Camp,1h 40m,PG,4.5,2700
126,Adventure,2024,127. Earthquake Underground,1h 23m,TV-14,3.3,204000
127,Adventure,2024,128. The Sloth Lane,1h 30m,U,5.6,237000
