,genre,year,title,duration,certificate,rating,voting
0,Animation,2024,1. The Wild Robot,1h 42m,U,8.2,182000
1,Animation,2024,2. Flow,1h 25m,U,7.9,84000
2,Animation,2024,3. Moana 2,1h 40m,PG,6.5,109000
3,Animation,2024,4. Mufasa: The Lion King,1h 58m,PG,6.6,71000
4,Animation,2024,5. Paddington in Peru,1h 46m,PG,6.7,26000
5,Animation,2024,6. Inside Out 2,1h 36m,U,7.5,223000
6,Animation,2024,7. Transformers One,1h 44m,PG,7.6,54000
7,Animation,2024,8. Despicable Me 4,1h 34m,U,6.2,68000
8,Animation,2024,9. IF,1h 44m,U,6.4,60000
9,Animation,2024,10. The Day the Earth Blew Up: A Looney Tunes Movie,1h 31m,U,6.9,5500
10,Animation,2024,11. Kung Fu Panda 4,1h 34m,PG,6.3,70000
11,Animation,2024,12. The Lord of the Rings: The War of the Rohirrim,2h 14m,12A,6.3,33000
12,Animation,2024,13. Memoir of a Snail,1h 35m,15,7.8,19000
13,Animation,2024,14. The Garfield Movie,1h 41m,U,5.7,25000
14,Animation,2024,15. Attack on Titan the Movie: The Last Attack,2h 25m,15,9.2,18000
15,Animation,2024,16. Solo Leveling: ReAwakening,2h 1m,15,8.8,14000
16,Animation,2024,17. Piece by Piece,1h 33m,PG,6.9,6100
17,Animation,2024,18. Spellbound,1h 49m,PG,5.5,7900
18,Animation,2024,19. Wallace & Gromit: Vengeance Most Fowl,1h 22m,U,7.5,36000
19,Animation,2024,20. Spermageddon,1h 20m,18,5.6,1100
20,Animation,2024,21. Look Back,58m,12A,7.8,16000
21,Animation,2024,22. The Remarkable Life of Ibelin,1h 43m,12,8.2,13000
22,Animation,2024,23. Harold and the Purple Crayon,1h 30m,PG,5.7,8800
23,Animation,2024,24. Xiong shi shao nian 2,2h 14m,,7.5,373000
24,Animation,2024,25. Orion and the Dark,1h 33m,PG,6.3,18000
25,Animation,2024,26. Watchmen: Chapter I,1h 23m,15,7.1,7000
26,Animation,2024,27. Dragonkeeper,1h 38m,PG,5.7,1800
27,Animation,2024,28. Justice League: Crisis on Infinite Earths - Part One,1h 33m,PG,6.2,8800
28,Animation,2024,29. Justice League: Crisis on Infinite Earths - Part Three,1h 34m,15,6.1,4800
29,Animation,2024,30. Dan Da Dan: First Encounter,1h 23m,15,8.2,2900
30,Animation,2024,31. Crayon Shin-chan: Our Dinosaur Diary,1h 46m,,6.6,609000
31,Animation,2024,32. Thelma the Unicorn,1h 33m,PG,5.7,3000
32,Animation,2024,33. Megamind vs. The Doom Syndicate,1h 23m,PG,2.5,5700
33,Animation,2024,34. Night of the Zoopocalypse,1h 31m,PG,6.1,926000
34,Animation,2024,35. Justice League: Crisis on Infinite Earths - Part Two,1h 34m,15,5.5,5600
35,Animation,2024,36. Haikyuu!! The Dumpster Battle,1h 25m,12A,7.7,6600
36,Animation,2024,37. Doraemon the Movie: Nobita's Earth Symphony,1h 55m,,6.6,1600
37,Animation,2024,38. White Snake: Afloat,2h 13m,,6.9,568000
38,Animation,2024,39. That Christmas,1h 31m,PG,6.8,17000
39,Animation,2024,40. Ultraman: Rising,1h 57m,PG,6.9,6600
40,Animation,2024,41. The Most Precious of Cargoes,1h 21m,12A,7.1,1500
41,Animation,2024,42. Watchmen: Chapter II,1h 30m,15,7.1,3400
42,Animation,2024,43. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,1h 44m,15,7.2,8800
43,Animation,2024,44. My Hero Academia: You're Next,1h 50m,12A,7.0,2600
44,Animation,2024,45. Overlord: The Sacred Kingdom,2h 15m,15,6.9,1400
45,Animation,2024,46. 10 Lives,1h 28m,U,5.9,2000
46,Animation,2024,47. Boys Go to Jupiter,1h 30m,,6.8,114000
47,Animation,2024,48. The Colors Within,1h 41m,U,7.1,1100
48,Animation,2024,49. Hitpig,1h 26m,PG,5.1,1100
49,Animation,2024,50. Detective Conan: The Million-Dollar Pentagram,1h 51m,15,6.7,1600
50,Animation,2024,51. Mars,1h 24m,,8.1,26000
51,Animation,2024,52. The Tiger's Apprentice,1h 24m,PG,5.8,2300
52,Animation,2024,53. Lesbian Space Princess,1h 27m,,7.2,184000
53,Animation,2024,54. Mononoke the Movie: The Phantom in the Rain,1h 29m,12,6.7,1400
54,Animation,2024,55. Frida,1h 27m,12A,7.5,1500
55,Animation,2024,56. Gekijô-ban Blue Lock -Episode Nagi-,1h 31m,PG,6.6,2600
56,Animation,2024,57. Super-Charlie,1h 20m,,5.8,165000
57,Animation,2024,58. Re: Zero - Starting Life in Another World- Season 3 Episode 1 90-minute Special 'Theatrical Malice',1h 30m,,8.7,1300
58,Animation,2024,59. From Ground Zero,1h 52m,,7.9,571000
59,Animation,2024,60. Buffalo Kids,1h 33m,PG,6.6,772000
60,Animation,2024,61. Big City Greens the Movie: Spacecation,1h 23m,TV-Y7,6.2,584000
61,Animation,2024,62. Saving Bikini Bottom: The Sandy Cheeks Movie,1h 22m,U,3.7,4000
62,Animation,2024,63. Cille 2069,0h,,7.1,97000
63,Animation,2024,64. The Night Before Christmas in Wonderland,1h 20m,TV-Y,6.3,526000
64,Animation,2024,65. 200% Wolf,1h 38m,U,5.9,1300
65,Animation,2024,66. Given Movie 3: Umi e,1h 20m,,7.6,129000
66,Animation,2024,67. Panda Bear in Africa,1h 24m,Not Rated,5.5,378000
67,Animation,2024,68. My Oni Girl,1h 52m,TV-PG,6.0,1900
68,Animation,2024,69. My Freaky Family,1h 26m,,6.1,424000
69,Animation,2024,70. Given the Movie: Hiiragi Mix,1h 10m,,7.6,229000
70,Animation,2024,"71. Angelo, dans la forêt mystérieuse",1h 21m,,6.0,135000
71,Animation,2024,72. Noah's Ark,1h 36m,U,4.2,701000
72,Animation,2024,73. Johnny Puff: Secret Mission,1h 27m,Not Rated,4.9,466000
73,Animation,2024,74. Woody Woodpecker Goes to Camp,1h 40m,PG,4.5,2700
