,genre,year,title,duration,certificate,rating,voting
0,Fantasy,2024,1. The Life of Chuck,1h 51m,R,7.7,6600
1,Fantasy,2024,2. Nosferatu,2h 12m,15,7.2,210000
2,Fantasy,2024,3. Wicked,2h 40m,PG,7.4,169000
3,Fantasy,2024,4. Sonic the Hedgehog 3,1h 50m,PG,6.9,65000
4,Fantasy,2024,5. Flow,1h 25m,U,7.9,84000
5,Fantasy,2024,6. Parthenope,2h 17m,15,6.6,14000
6,Fantasy,2024,7. Beetlejuice Beetlejuice,1h 45m,12A,6.6,155000
7,Fantasy,2024,8. Moana 2,1h 40m,PG,6.5,109000
8,Fantasy,2024,9. Better Man,2h 15m,15,7.6,32000
9,Fantasy,2024,10. Inside Out 2,1h 36m,U,7.5,223000
10,Fantasy,2024,11. Ghostbusters: Frozen Empire,1h 55m,12A,6.1,96000
11,Fantasy,2024,12. Damsel,1h 50m,12,6.1,111000
12,Fantasy,2024,13. Megalopolis,2h 18m,15,4.7,37000
13,Fantasy,2024,14. Transformers One,1h 44m,PG,7.6,54000
14,Fantasy,2024,15. IF,1h 44m,U,6.4,60000
15,Fantasy,2024,16. Monster Summer,1h 37m,PG-13,5.7,4200
16,Fantasy,2024,17. The Crow,1h 51m,18,4.7,37000
17,Fantasy,2024,18. Godzilla x Kong: The New Empire,1h 55m,12A,6.0,124000
18,Fantasy,2024,19. Red One,2h 3m,12A,6.3,142000
19,Fantasy,2024,20. The Watched,1h 42m,15,5.7,59000
20,Fantasy,2024,21. Kung Fu Panda 4,1h 34m,PG,6.3,70000
21,Fantasy,2024,22. The Lord of the Rings: The War of the Rohirrim,2h 14m,12A,6.3,33000
22,Fantasy,2024,23. The Wonderful Story of Henry Sugar and Three More,1h 28m,TV-PG,7.1,8200
23,Fantasy,2024,24. Uglies,1h 40m,12,4.7,34000
24,Fantasy,2024,25. The Garfield Movie,1h 41m,U,5.7,25000
25,Fantasy,2024,26. Kalki 2898-AD,3h,12A,7.0,68000
26,Fantasy,2024,27. Cells at Work!,1h 49m,12,6.7,832000
27,Fantasy,2024,28. Solo Leveling: ReAwakening,2h 1m,15,8.8,14000
