,genre,year,title,duration,certificate,rating,voting
0,History,2024,1. I'm Still Here,2h 17m,15,8.2,113000
1,History,2024,2. Small Things Like These,1h 38m,12A,6.7,27000
2,History,2024,3. The Girl with the Needle,2h 3m,15,7.5,15000
3,History,2024,4. The Apprentice,2h 2m,15,7.1,60000
4,History,2024,5. William Tell,2h 14m,15,5.7,3100
5,History,2024,6. The Return,1h 56m,15,6.2,10000
6,History,2024,7. Saturday Night,1h 49m,15,6.9,33000
7,History,2024,8. September 5,1h 35m,15,7.1,27000
8,History,2024,9. Queer,2h 17m,18,6.4,24000
9,History,2024,10. The Six Triple Eight,2h 7m,12A,6.7,28000
10,History,2024,11. Blitz,2h,12A,6.2,17000
11,History,2024,12. Vermiglio,1h 59m,15,6.9,4900
12,History,2024,13. Joy,1h 55m,12A,7.1,10000
13,History,2024,14. The Children's Train,1h 46m,TV-14,7.4,7900
14,History,2024,15. Reagan,2h 21m,12,6.1,12000
15,History,2024,16. Unfrosted,1h 37m,12,5.5,35000
16,History,2024,17. 11 Rebels,2h 35m,15,6.3,686000
17,History,2024,18. The Devil's Bath,2h 1m,,6.6,6700
18,History,2024,19. Bonhoeffer,2h 13m,12A,6.2,3900
19,History,2024,20. Uprising,2h 6m,18,6.6,5900
20,History,2024,21. The New Year That Never Came,2h 18m,,8.1,5500
21,History,2024,22. Saint-Exupéry,1h 38m,,5.4,510000
22,History,2024,23. Waves,2h 11m,,7.9,2000
23,History,2024,24. In Her Place,1h 36m,12A,6.2,7000
24,History,2024,25. Harbin,1h 48m,,6.2,967000
25,History,2024,26. Goebbels and the Führer,2h 15m,,6.7,2600
26,History,2024,27. The Damned,1h 29m,,5.4,930000
27,History,2024,28. Bibi Rajni,2h 23m,12A,8.4,737000
28,History,2024,29. The Great Lillian Hall,1h 50m,TV-14,7.3,2100
29,History,2024,"30. From Hilde, with Love",2h 5m,15,6.9,1100
30,History,2024,31. Grand Tour,2h 9m,12,6.5,2100
31,History,2024,32. Thangalaan,2h 36m,15,6.5,6800
32,History,2024,33. Chandu Champion,2h 22m,12A,7.8,34000
33,History,2024,34. Janis Ian: Breaking Silence,1h 54m,,8.2,129000
34,History,2024,35. Shirley,1h 57m,12A,6.2,3400
35,History,2024,36. Harvest,2h 11m,18,6.2,494000
36,History,2024,37. Ernest Cole: Lost and Found,1h 45m,,7.3,402000
37,History,2024,38. Being Maria,1h 40m,,6.1,778000
38,History,2024,39. Meeting with Pol Pot,1h 52m,,6.4,439000
39,History,2024,40. Kingdom 4: Return of the Great General,2h 25m,12,7.1,1400
40,History,2024,41. The Last Front,1h 38m,15,5.5,636000
41,History,2024,42. Bahodir Yalangto'sh,0h,,6.6,164000
42,History,2024,43. Atatürk II: 1881-1919,2h 21m,15,8.9,2300
43,History,2024,44. Bir Cumhuriyet Sarkisi,2h 8m,U,7.4,1300
44,History,2024,45. Before Dawn,1h 41m,15,5.4,1100
45,History,2024,46. ABBA: Against the Odds,1h 30m,12,7.3,585000
46,History,2024,47. Maidaan,3h 1m,12A,7.9,23000
47,History,2024,48. Intoxicated by Love,1h 58m,,8.5,14000
48,History,2024,49. In Search of Darkness: 1990-1994,6h 3m,Not Rated,7.9,155000
49,History,2024,50. Ka Whawhai Tonu,1h 55m,,7.2,204000
50,History,2024,51. Seize Them!,1h 31m,15,5.1,1300
51,History,2024,52. The Kingdom,2h 13m,TV-14,7.0,151000
52,History,2024,53. Apocalypse in the Tropics,1h 50m,,7.5,111000
53,History,2024,54. The Ballad of Davy Crockett,1h 36m,,4.6,258000
54,History,2024,55. Maharaj,2h 11m,15,6.5,15000
55,History,2024,56. The Commandant's Shadow,1h 43m,12A,7.3,1100
56,History,2024,57. Simona Kossak,1h 40m,15,6.0,386000
57,History,2024,58. Yatra 2,2h 12m,12A,6.2,9700
58,History,2024,59. Escape from Germany,1h 37m,PG,5.4,1100
59,History,2024,60. The Flood,1h 41m,,6.4,351000
60,History,2024,61. Gladiators,1h 35m,15,4.4,114000
61,History,2024,62. No Chains No Masters,1h 38m,,6.3,662000
62,History,2024,63. Golden Kamuy,2h 7m,15,6.3,2600
63,History,2024,64. Limonov: The Ballad of Eddie,2h 18m,,5.9,1100
64,History,2024,65. Apollo 13: Survival,1h 38m,PG,7.3,2500
65,History,2024,66. Gloria!,1h 46m,,6.6,1100
66,History,2024,67. Razakar: The Silent Genocide of Hyderabad,2h 46m,,7.3,5300
67,History,2024,68. Louise Violet,1h 48m,,6.5,265000
68,History,2024,69. Operation Undead,1h 50m,15,4.7,440000
69,History,2024,70. Witches,1h 30m,,7.4,1300
70,History,2024,71. The Great Ambition,2h 3m,,7.1,873000
71,History,2024,72. Unsinkable,1h 40m,PG,5.7,160000
72,History,2024,"73. Love, Courage and the Battle of Bushy Run",1h 53m,15,5.0,194000
73,History,2024,74. Now or Never!,0h,,2.2,17000
74,History,2024,75. Quisling: The Final Days,2h 26m,,7.1,1300
75,History,2024,76. Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,2h 54m,,8.2,671000
76,History,2024,77. Becoming Madonna,1h 31m,,6.9,319000
77,History,2024,78. Einstein and the Bomb,1h 16m,15,6.2,4100
78,History,2024,79. Conquer: Lahad Datu,2h,15,6.6,548000
79,History,2024,80. Sucha Soorma,2h 16m,15,6.4,954000
80,History,2024,81. Witch,1h 47m,,4.9,1400
81,History,2024,82. Le quatrième mur,1h 56m,,6.3,142000
82,History,2024,83. Bushido,2h 9m,,6.9,507000
83,History,2024,84. Battlefield,1h 44m,,6.2,702000
84,History,2024,85. Lula,1h 30m,,5.6,198000
85,History,2024,86. Ei koskaan yksin,1h 25m,,7.1,460000
86,History,2024,87. The Volunteers: The Battle of Life and Death,2h 24m,,6.1,249000
87,History,2024,88. Blur: To the End,1h 44m,15,7.2,732000
88,History,2024,89. Drop Dead City: New York on the Brink in 1975,1h 48m,,8.2,34000
89,History,2024,90. Gangs of Godavari,2h 45m,15,4.9,918000
