,genre,year,title,duration,certificate,rating,voting
0,Mystery,2024,1. Nosferatu,2h 12m,15,7.2,210000
1,Mystery,2024,2. Longlegs,1h 41m,15,6.6,193000
2,Mystery,2024,3. Juror #2,1h 54m,12A,7.0,105000
3,Mystery,2024,4. Blink Twice,1h 42m,15,6.5,111000
4,Mystery,2024,5. Trap,1h 45m,15,5.8,145000
5,Mystery,2024,6. Smile 2,2h 7m,18,6.7,114000
6,Mystery,2024,7. Paddington in Peru,1h 46m,PG,6.7,26000
7,Mystery,2024,8. Caddo Lake,1h 43m,12,6.8,45000
8,Mystery,2024,9. Absolution,1h 52m,R,5.2,8900
9,Mystery,2024,10. Skincare,1h 36m,18,5.7,4800
10,Mystery,2024,11. Love Lies Bleeding,1h 44m,15,6.6,59000
11,Mystery,2024,12. Sleeping Dogs,1h 50m,18,6.2,22000
12,Mystery,2024,13. Monster Summer,1h 37m,PG-13,5.7,4200
13,Mystery,2024,14. Cuckoo,1h 42m,15,5.7,29000
14,Mystery,2024,15. Time Cut,1h 31m,15,5.0,20000
15,Mystery,2024,16. I Saw the TV Glow,1h 40m,15,5.8,38000
16,Mystery,2024,17. It's What's Inside,1h 43m,15,6.6,44000
17,Mystery,2024,18. Red One,2h 3m,12A,6.3,142000
18,Mystery,2024,19. The Watched,1h 42m,15,5.7,59000
19,Mystery,2024,20. The Damned,1h 29m,15,5.7,5600
20,Mystery,2024,21. Outbreak,1h 28m,15,4.4,1200
21,Mystery,2024,22. The Rule of Jenny Pen,1h 44m,15,6.2,6000
22,Mystery,2024,23. The Instigators,1h 41m,15,6.2,39000
23,Mystery,2024,24. Turtles All the Way Down,1h 51m,PG-13,6.6,7500
24,Mystery,2024,25. Witchboard,1h 52m,R,7.6,105000
25,Mystery,2024,26. Mr. K,1h 34m,,5.5,1100
26,Mystery,2024,27. The Deliverance,1h 52m,R,5.1,23000
27,Mystery,2024,28. Saint Clare,1h 32m,,7.3,109000
28,Mystery,2024,29. Exhuma,2h 14m,15,6.9,25000
29,Mystery,2024,30. Night Swim,1h 38m,15,4.7,28000
30,Mystery,2024,31. Hellboy: The Crooked Man,1h 39m,15,4.5,14000
31,Mystery,2024,32. AfrAId,1h 24m,15,5.2,15000
32,Mystery,2024,33. Die Alone,1h 30m,15,5.8,3900
33,Mystery,2024,34. Kishkindha Kaandam,2h 13m,12A,8.0,12000
34,Mystery,2024,35. Slingshot,1h 48m,15,5.7,10000
35,Mystery,2024,36. Killer Heat,1h 35m,15,5.6,14000
36,Mystery,2024,37. F*** Marry Kill,1h 37m,15,5.3,2800
37,Mystery,2024,38. Sookshma Darshini,2h 22m,12A,7.8,11000
38,Mystery,2024,39. Orion and the Dark,1h 33m,PG,6.3,18000
