,genre,year,title,duration,certificate,rating,voting
0,Reality-Tv,2024,1. Meet Me in Rome,1h 25m,,5.2,687000
1,Reality-Tv,2024,2. Wet Dreams,1h 1m,,0.0,0
2,Reality-Tv,2024,3. The Netflix Slam,2h 30m,PG,7.2,147000
3,Reality-Tv,2024,4. Inquietus,0h,,7.0,6000
4,Reality-Tv,2024,5. Chappelle's Home Team: Donnell Rawlings - A New Day,40m,,5.7,240000
5,Reality-Tv,2024,6. The Loneliest Boy on Earth,2h 38m,,0.0,0
6,Reality-Tv,2024,7. Verified,1h 37m,,5.1,9000
7,Reality-Tv,2024,8. Dinner Party Diaries with José Andrés,0h,,7.8,77000
8,Reality-Tv,2024,9. Citizen Glenn,55m,,0.0,0
9,Reality-Tv,2024,10. Point of the Pen,0h,,0.0,0
10,Reality-Tv,2024,11. Storeis from the grave afterlife research PNW,40m,18+,0.0,0
11,Reality-Tv,2024,12. The Old Baraboo Inn,48m,,0.0,0
12,Reality-Tv,2024,13. Maria,1h,,4.2,23000
13,Reality-Tv,2024,14. Beta Squad vs AMP Charity Match 2024,3h 30m,,7.3,9000
14,Reality-Tv,2024,15. Current Status of HSC Candidates,0h,,0.0,0
15,Reality-Tv,2024,16. Nytårsfesten 2023 i Danmark,1h 17m,,0.0,0
16,Reality-Tv,2024,17. Cheongsam Culture Reality,0h,,0.0,0
17,Reality-Tv,2024,18. Beyond the Living Stenberg,0h,,0.0,0
18,Reality-Tv,2024,19. Krazy Haus San Fransicko 2 La,0h,,0.0,0
19,Reality-Tv,2024,20. Paranormal Encounters at the Miami YMCA,52m,,0.0,0
20,Reality-Tv,2024,21. Quadrant HCS Major 2: London,0h,,0.0,0
21,Reality-Tv,2024,22. Obsessed with Fashion,0h,,0.0,0
22,Reality-Tv,2024,23. Thinking All About Love: An Open Letter to Anyone Confused in 2024,1h 30m,,0.0,0
23,Reality-Tv,2024,24. CMG 2024 Spring Festival Gala,0h,,0.0,0
24,Reality-Tv,2024,25. Sound of Mountain,0h,,0.0,0
25,Reality-Tv,2024,26. I Used to Love a Crackhead,0h,,0.0,0
