,genre,year,title,duration,certificate,rating,voting
0,Romance,2024,1. Anora,2h 19m,18,7.5,204000
1,Romance,2024,2. Mon Potongo,2h 29m,,5.3,534000
2,Romance,2024,3. Wicked,2h 40m,PG,7.4,169000
3,Romance,2024,4. Babygirl,1h 54m,18,5.8,64000
4,Romance,2024,5. The Fall Guy,2h 6m,12A,6.8,227000
5,Romance,2024,6. The Count of Monte-Cristo,2h 58m,12A,7.6,37000
6,Romance,2024,7. We Live in Time,1h 48m,15,7.0,56000
7,Romance,2024,8. Challengers,2h 11m,15,7.0,159000
8,Romance,2024,9. It Ends with Us,2h 10m,15,6.3,89000
9,Romance,2024,10. My Old Ass,1h 29m,15,6.9,42000
10,Romance,2024,11. Bonjour Tristesse,1h 50m,R,6.0,410000
11,Romance,2024,12. The Idea of You,1h 55m,15,6.3,75000
12,Romance,2024,13. Queer,2h 17m,18,6.4,24000
13,Romance,2024,14. Love Me,1h 31m,R,5.1,2900
14,Romance,2024,15. Fly Me to the Moon,2h 12m,12A,6.6,52000
15,Romance,2024,16. On Swift Horses,1h 59m,R,6.0,2400
16,Romance,2024,17. Ask Me What You Want,1h 54m,,3.9,1200
17,Romance,2024,18. Love Lies Bleeding,1h 44m,15,6.6,59000
18,Romance,2024,19. The Crow,1h 51m,18,4.7,37000
19,Romance,2024,20. A Nice Indian Boy,1h 36m,,7.4,2200
20,Romance,2024,21. Young Hearts,1h 39m,,7.9,5700
21,Romance,2024,22. A Family Affair,1h 51m,12,5.4,37000
22,Romance,2024,23. Turtles All the Way Down,1h 51m,PG-13,6.6,7500
23,Romance,2024,24. All We Imagine as Light,1h 58m,15,7.1,11000
24,Romance,2024,25. Winter Spring Summer or Fall,1h 37m,15,6.1,3000
25,Romance,2024,26. Jane Austen Wrecked My Life,1h 38m,15,6.5,778000
26,Romance,2024,27. Spaceman,1h 47m,15,5.7,44000
27,Romance,2024,28. Your Fault,1h 58m,18,5.2,14000
28,Romance,2024,29. Upgraded,1h 44m,15,6.1,30000
29,Romance,2024,30. Emmanuelle,1h 47m,18,4.1,1900
30,Romance,2024,31. Lonely Planet,1h 34m,15,5.7,12000
31,Romance,2024,32. Young Woman and the Sea,2h 9m,PG,7.5,18000
32,Romance,2024,33. Someone Like You,1h 58m,PG,5.9,2300
33,Romance,2024,34. Mother of the Bride,1h 28m,PG,4.8,17000
34,Romance,2024,35. Beating Hearts,2h 46m,,7.0,6000
35,Romance,2024,36. Loveable,1h 41m,,7.7,2500
36,Romance,2024,37. The Master and Margarita,2h 36m,,7.2,4900
37,Romance,2024,38. Die Alone,1h 30m,15,5.8,3900
38,Romance,2024,39. Lisa Frankenstein,1h 41m,15,6.1,29000
39,Romance,2024,40. Dreams (Sex Love),1h 50m,,7.6,751000
40,Romance,2024,41. La cocina,2h 19m,15,7.1,3700
41,Romance,2024,42. Lick,1h 15m,,6.2,978000
42,Romance,2024,43. Sidelined: The QB and Me,1h 39m,12,5.8,4100
43,Romance,2024,44. Your Monster,1h 43m,R,6.4,6300
44,Romance,2024,45. Killer Heat,1h 35m,15,5.6,14000
45,Romance,2024,46. F*** Marry Kill,1h 37m,15,5.3,2800
46,Romance,2024,47. Lilies Not for Me,1h 39m,Unrated,7.1,667000
47,Romance,2024,48. The Greatest Hits,1h 34m,PG-13,6.2,7700
