,genre,year,title,duration,certificate,rating,voting
0,Talk-Show,2024,1. National Theatre Live: Dear England,3h 11m,,8.2,144000
1,Talk-Show,2024,2. An no Koto,0h,,7.1,52000
2,Talk-Show,2024,3. Anthony Rodia Totally Relatable,1h 17m,,6.1,54000
3,Talk-Show,2024,4. El Documental,2h 31m,,0.0,0
4,Talk-Show,2024,5. 2053 - A Best Case Scenario,58m,,0.0,0
5,Talk-Show,2024,6. Darkman Audio Commentary with Josh Ruben,0h,,0.0,0
6,Talk-Show,2024,7. Krazy Haus San Fransicko 2 La,0h,,0.0,0
7,Talk-Show,2024,8. Paul Molinar: Supercut,2h 9m,,0.0,0
8,Talk-Show,2024,9. Night of Recovery: Live from the Waynesboro Theater,2h 1m,16+,0.0,0
9,Talk-Show,2024,10. LIVE Review EP1,1h 9m,,0.0,0
10,Talk-Show,2024,11. The Poetry of Clark L. Stanton,47m,,0.0,0
11,Talk-Show,2024,12. Radyo Agila: Kapitbahay,0h,,0.0,0
